100-4,-30.94,-59.34,31.87,89.9,273.6,80.5,0.023,-0.157,-2.228,38
100-5,-58.15,-29.67,50.61,47.0,317.0,69.0,0.121,-0.375,-1.684,65
100-0,80.56,-83.08,-124.29,107.7,-334.7,54.8,-0.640,-0.085,-0.672,93
100-1,91.88,-12.08,-28.49,68.3,-103.7,176.2,-0.587,-0.542,-0.554,21
100-2,55.30,-58.52,-23.48,176.6,-132.8,52.4,-1.129,0.170,-3.456,35
100-3,26.55,-62.82,-19.33,190.2,-232.0,25.9,-0.634,0.585,-3.478,36
100-4,-23.34,-61.35,31.50,257.2,-266.0,-2.2,-0.573,0.432,-3.088,38
100-5,-52.10,-32.98,52.99,373.5,-317.4,-34.0,-0.387,0.427,-2.385,65
100-0,37.03,-77.10,-74.17,196.4,-492.7,-74.4,-2.978,0.272,-0.277,93
100-1,85.41,0.84,-20.66,-341.3,-330.7,514.5,0.638,-0.678,-0.207,28
100-2,42.91,-47.75,-4.15,29.9,-688.6,-27.1,1.040,0.555,-2.636,35
100-3,18.93,-44.78,-3.36,115.8,-851.6,-121.1,2.102,0.960,-2.318,35
100-4,-8.70,-38.73,27.10,334.7,-948.1,-167.9,2.344,1.463,-1.658,38
100-5,-27.52,-9.77,40.55,635.0,-1118.3,-263.1,1.708,1.576,-0.932,64
100-0,6.49,-39.39,-35.35,166.7,-1746.5,-177.2,-2.205,0.900,-2.565,93
100-1,72.13,29.11,-7.22,-512.2,-605.7,795.4,3.105,-0.375,1.651,29
100-2,26.53,-14.88,23.62,-35.0,-1370.6,13.0,4.951,-0.775,-0.303,34
100-3,12.88,-5.06,15.07,29.0,-1391.1,-118.7,5.391,-0.348,0.220,36
100-4,2.06,4.09,32.29,311.1,-1334.9,-190.4,4.643,1.152,0.135,38
100-5,-6.85,38.33,36.84,408.0,-1408.0,-240.7,3.930,1.872,-0.674,65
100-0,5.50,32.60,-23.84,-311.8,-1989.5,-37.9,1.347,1.408,-4.905,93
100-1,52.44,62.34,-5.56,-438.5,-310.5,809.4,2.421,-0.274,2.982,31
100-2,28.48,32.49,43.61,-50.1,-1414.2,140.6,5.129,-0.319,1.606,39
100-3,17.04,45.09,31.69,-158.5,-1526.2,-46.8,5.666,-1.258,1.567,36
100-4,21.07,53.54,52.39,108.9,-1586.4,-136.7,5.168,-0.657,1.082,38
100-5,100.37,80.99,143.65,-182.2,-1518.8,-389.2,5.242,-0.117,-0.535,65
